start_date,end_date,number,opinion,percent
1977-02-04,1977-02-07,39,approve,66
1988-12-27,1988-12-29,40,approve,63
1988-11-11,1988-11-14,40,approve,56
1988-09-09,1988-09-11,40,approve,53
1988-07-01,1988-07-07,40,approve,50
1988-05-13,1988-05-15,40,approve,49
1988-03-08,1988-03-12,40,approve,51
1988-03-10,1988-03-10,40,approve,51
1988-02-04,1988-02-04,40,approve,52
1987-12-15,1987-12-15,40,approve,51
1987-12-08,1987-12-11,40,approve,61
1987-11-06,1987-11-06,40,approve,52
1987-10-23,1987-10-26,40,approve,50
1987-10-23,1987-10-26,40,approve,50
1987-10-22,1987-10-23,40,approve,48
1987-10-07,1987-10-09,40,approve,47
1987-09-25,1987-10-04,40,approve,51
1987-09-02,1987-09-03,40,approve,51
1987-08-24,1987-09-02,40,approve,48
1987-07-10,1987-07-13,40,approve,48
1987-07-09,1987-07-10,40,approve,50
1987-06-01,1987-06-01,40,approve,45
1987-05-17,1987-05-18,40,approve,49
1987-04-29,1987-04-30,40,approve,47
1987-04-10,1987-04-13,40,approve,48
1987-03-14,1987-03-18,40,approve,46
1987-03-05,1987-03-06,40,approve,46
1987-02-27,1987-02-27,40,approve,40
1987-01-28,1987-01-29,40,approve,49
1987-01-16,1987-01-19,40,approve,48
1987-01-07,1987-01-08,40,approve,52
1986-12-04,1986-12-05,40,approve,47
1986-12-04,1986-12-05,40,approve,47
1986-10-01,1986-10-02,40,approve,64
1986-09-13,1986-09-17,40,approve,62
1986-08-20,1986-08-21,40,approve,63
1986-07-31,1986-07-31,40,approve,59
1986-07-11,1986-07-14,40,approve,63
1986-07-01,1986-07-02,40,approve,67
1986-06-09,1986-06-16,40,approve,67
1986-04-30,1986-05-01,40,approve,67
1986-04-11,1986-04-20,40,approve,61
1986-04-17,1986-04-18,40,approve,67
1986-04-11,1986-04-14,40,approve,61
1986-03-26,1986-03-27,40,approve,63
1986-03-04,1986-03-10,40,approve,63
1986-01-29,1986-01-30,40,approve,71
1986-01-10,1986-01-13,40,approve,63
1985-11-19,1985-11-19,40,approve,66
1985-11-11,1985-11-18,40,approve,65
1985-11-13,1985-11-14,40,approve,69
1985-10-11,1985-10-14,40,approve,62
1985-08-27,1985-08-28,40,approve,61
1985-08-13,1985-08-14,40,approve,65
1985-08-01,1985-08-02,40,approve,62
1985-07-17,1985-07-18,40,approve,67
1985-07-12,1985-07-15,40,approve,62
1985-06-20,1985-06-21,40,approve,65
1985-06-07,1985-06-10,40,approve,57
1985-05-17,1985-05-20,40,approve,55
1985-04-26,1985-04-26,40,approve,54
1985-04-12,1985-04-15,40,approve,52
1985-03-08,1985-03-11,40,approve,55
1985-02-28,1985-03-01,40,approve,57
1985-02-15,1985-02-18,40,approve,59
1985-01-25,1985-01-28,40,approve,63
1985-01-11,1985-01-14,40,approve,61
1985-01-03,1985-01-04,40,approve,59
1984-12-07,1984-12-10,40,approve,59
1984-11-30,1984-12-03,40,approve,61
1984-11-09,1984-11-12,40,approve,61
1984-10-26,1984-10-29,40,approve,58
1984-09-28,1984-10-01,40,approve,53
1984-09-21,1984-09-24,40,approve,56
1984-09-07,1984-09-09,40,approve,56
1984-08-10,1984-08-12,40,approve,53
1984-07-27,1984-07-30,40,approve,51
1984-07-13,1984-07-16,40,approve,55
1984-07-12,1984-07-13,40,approve,51
1984-07-06,1984-07-09,40,approve,53
1984-06-29,1984-07-02,40,approve,53
1984-06-22,1984-06-22,40,approve,54
1984-06-01,1984-06-03,40,approve,52
1984-05-18,1984-05-21,40,approve,53
1984-05-09,1984-05-10,40,approve,49
1984-04-25,1984-04-26,40,approve,48
1984-04-06,1984-04-09,40,approve,54
1984-03-16,1984-03-19,40,approve,53
1984-03-01,1984-03-02,40,approve,52
1984-02-10,1984-02-13,40,approve,55
1984-01-30,1984-02-06,40,approve,52
1984-01-27,1984-01-30,40,approve,55
1984-01-13,1984-01-16,40,approve,52
1983-12-09,1983-12-12,40,approve,53
1983-11-18,1983-11-21,40,approve,52
1983-10-07,1983-10-14,40,approve,45
1983-09-13,1983-09-13,40,approve,47
1983-09-09,1983-09-12,40,approve,47
1983-08-19,1983-08-22,40,approve,42
1983-08-12,1983-08-15,40,approve,43
1983-08-05,1983-08-08,40,approve,43
1983-07-29,1983-08-02,40,approve,44
1983-07-22,1983-07-25,40,approve,42
1983-06-24,1983-06-27,40,approve,46
1983-06-10,1983-06-13,40,approve,43
1983-05-20,1983-05-23,40,approve,45
1983-05-13,1983-05-16,40,approve,43
1983-04-29,1983-05-02,40,approve,42
1983-04-15,1983-04-18,40,approve,40
1983-03-11,1983-03-14,40,approve,40
1983-01-28,1983-01-31,40,approve,35
1983-01-21,1983-01-24,40,approve,37
1983-01-11,1983-01-11,40,approve,36
1982-12-10,1982-12-13,40,approve,41
1982-11-19,1982-11-22,40,approve,43
1982-11-05,1982-11-08,40,approve,42
1982-10-15,1982-10-18,40,approve,41
1982-09-17,1982-09-20,40,approve,42
1982-08-24,1982-08-24,40,approve,41
